,ID,DISPLAY_FIRST_LAST,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,TEAM_ID,DRAFT_YEAR,PTS,AST,REB
0,76001,Alaa Abdelnaby,1968-06-24T00:00:00,USA,82.0,240.0,4,Forward,1610612757,1990,5.7,0.3,3.3
1,76002,Zaid Abdul-Aziz,1946-04-07T00:00:00,USA,81.0,235.0,9,Center,1610612745,1968,9.0,1.2,8.0
2,76003,Kareem Abdul-Jabbar,1947-04-16T00:00:00,USA,86.0,225.0,19,Center,1610612747,1969,24.6,3.6,11.2
3,51,Mahmoud Abdul-Rauf,1969-03-09T00:00:00,USA,73.0,162.0,8,Guard,1610612743,1990,14.6,3.5,1.9
4,1505,Tariq Abdul-Wahad,1974-11-03T00:00:00,France,78.0,235.0,6,Forward-Guard,1610612758,1997,7.8,1.1,3.3
5,949,Shareef Abdur-Rahim,1976-12-11T00:00:00,USA,81.0,245.0,12,Forward,1610612763,1996,18.1,2.5,7.5
6,76005,Tom Abernethy,1954-05-06T00:00:00,USA,79.0,220.0,4,Forward,1610612744,1976,5.6,1.2,3.2
7,76006,Forest Able,1932-07-27T00:00:00,USA,75.0,180.0,0,Guard,1610612755,1956,0.0,1.0,1.0
8,76007,John Abramovic,1919-02-09T00:00:00,USA,75.0,195.0,1,Forward,1610610031,Undrafted,9.5,0.7,
9,203518,Alex Abrines,1993-08-01T00:00:00,Spain,78.0,200.0,2,Guard,0,2013,5.3,0.5,1.4
10,101165,Alex Acker,1983-01-21T00:00:00,USA,77.0,185.0,2,Guard,1610612746,2005,2.7,0.5,1.0
11,76008,Donald Ackerman,1930-09-04T00:00:00,USA,72.0,183.0,0,Guard,1610612752,1953,1.5,0.8,0.5
12,76009,Mark Acres,1962-11-15T00:00:00,USA,83.0,220.0,5,Center,1610612753,1985,3.6,0.5,4.1
13,76010,Charles Acton,1942-01-11T00:00:00,USA,78.0,210.0,0,Forward,1610612745,Undrafted,3.3,0.5,2.0
14,203112,Quincy Acy,1990-10-06T00:00:00,USA,79.0,240.0,6,Forward,0,2012,4.9,0.6,3.5
15,76011,Alvan Adams,1954-07-19T00:00:00,USA,81.0,210.0,12,Center,1610612756,1975,14.1,4.1,7.0
16,76012,Don Adams,1947-11-27T00:00:00,USA,79.0,210.0,6,Forward,1610612765,1970,8.7,1.8,5.6
17,200801,Hassan Adams,1984-06-20T00:00:00,USA,76.0,220.0,1,Forward,0,2006,2.5,0.2,1.2
18,1629121,Jaylen Adams,1996-05-04T00:00:00,USA,72.0,225.0,2,Guard,0,Undrafted,0.3,0.3,0.4
19,203919,Jordan Adams,1994-07-08T00:00:00,USA,77.0,209.0,2,Guard,1610612763,2014,3.2,0.6,0.9
20,149,Michael Adams,1963-01-19T00:00:00,USA,70.0,165.0,10,Guard,1610612743,1985,14.7,6.4,2.9
21,203500,Steven Adams,1993-07-20T00:00:00,New Zealand,83.0,265.0,7,Center,1610612740,2013,8.1,2.0,9.2
22,912,Rafael Addison,1964-07-22T00:00:00,USA,80.0,241.0,5,Forward,1610612751,1986,5.8,0.9,2.1
23,1628389,Bam Adebayo,1997-07-18T00:00:00,USA,81.0,255.0,3,Center-Forward,1610612748,2017,19.2,5.4,9.5
24,1629061,Deng Adel,1997-02-01T00:00:00,South Sudan,79.0,200.0,1,Forward,1610612739,Undrafted,1.7,0.3,1.0
25,76015,Rick Adelman,1946-06-16T00:00:00,USA,74.0,175.0,6,Guard,1610612757,1968,7.7,3.5,2.4
26,202399,Jeff Adrien,1986-02-10T00:00:00,USA,,,5,,0,Undrafted,4.6,0.7,4.3
27,201167,Arron Afflalo,1985-10-15T00:00:00,USA,77.0,210.0,11,Guard,1610612753,2007,10.8,1.8,2.9
28,200772,Maurice Ager,1984-02-09T00:00:00,USA,77.0,202.0,3,Forward-Guard,0,2006,2.1,0.2,0.6
29,76016,Mark Aguirre,1959-12-10T00:00:00,USA,78.0,232.0,12,Forward,1610612742,1981,20.0,3.1,5.0
30,201336,Blake Ahearn,1984-05-27T00:00:00,USA,74.0,190.0,3,Guard,1610612748,Undrafted,4.6,1.2,1.2
31,76017,Danny Ainge,1959-03-17T00:00:00,USA,77.0,175.0,13,Guard,1610612738,1981,11.5,4.0,2.7
32,201582,Alexis Ajinca,1988-05-06T00:00:00,France,86.0,248.0,7,Center,1610612740,2008,5.3,0.5,3.9
33,76018,Henry Akin,1944-07-31T00:00:00,USA,82.0,225.0,1,Center,1610612752,1966,3.5,0.5,2.1
34,203006,Josh Akognon,1986-02-10T00:00:00,USA,71.0,185.0,1,Guard,1610612742,Undrafted,1.7,0.3,0.3
35,1629152,DeVaughn Akoon-Purcell,1993-06-05T00:00:00,Trinidad and Tobago,78.0,200.0,1,Guard-Forward,0,Undrafted,1.0,0.9,0.6
36,202374,Solomon Alabi,1988-03-21T00:00:00,Nigeria,85.0,252.0,2,Center,1610612761,2010,1.5,0.2,2.3
37,76019,Mark Alarie,1963-12-11T00:00:00,USA,80.0,217.0,4,Forward,1610612764,1986,7.5,1.1,3.4
38,76020,Gary Alcorn,1936-10-08T00:00:00,USA,81.0,225.0,1,Center,1610612765,1959,3.3,0.3,4.2
39,203128,Furkan Aldemir,1991-08-09T00:00:00,Turkey,82.0,240.0,1,Forward-Center,1610612755,2012,2.3,0.7,4.3
40,202332,Cole Aldrich,1988-10-31T00:00:00,USA,83.0,253.0,8,Center,1610612752,2010,3.1,0.5,3.3
41,200746,LaMarcus Aldridge,1985-07-19T00:00:00,USA,83.0,250.0,14,Center-Forward,1610612759,2006,13.7,1.7,4.5
42,76021,Chuck Aleksinas,1959-02-26T00:00:00,USA,83.0,260.0,0,Center,1610612744,1982,5.1,0.5,3.6
43,1626146,Cliff Alexander,1995-11-16T00:00:00,USA,80.0,240.0,1,Forward,1610612757,Undrafted,1.3,0.0,0.8
44,724,Cory Alexander,1973-06-22T00:00:00,USA,73.0,190.0,7,Guard,1610612759,1995,5.5,2.7,1.6
45,2042,Courtney Alexander,1977-04-27T00:00:00,USA,77.0,205.0,3,Guard,1610612764,2000,9.0,1.2,2.2
46,76022,Gary Alexander,1969-11-01T00:00:00,USA,79.0,240.0,0,Forward,1610612739,Undrafted,1.7,0.2,1.4
47,201570,Joe Alexander,1986-12-26T00:00:00,USA,80.0,230.0,2,Forward,1610612749,2008,4.2,0.7,1.8
48,1629734,Kyle Alexander,1996-10-21T00:00:00,Canada,82.0,216.0,1,Forward-Center,1610612748,Undrafted,1.0,0.0,1.5
